Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation_Risk_Original,Location,Gender Diversity (%),Automation_Risk_New
Control and instrumentation engineer,Entertainment,Increasing,Low,114347.95,Bachelor’s Degree,9,6606,8761,83.48,92.77,India,69.28,19.46601048110061
Charity officer,Healthcare,Increasing,High,102919.41,PhD,9,1798,6453,43.11,59.55,USA,65.26,37.54034834141694
"Geologist, wellsite",Education,Increasing,Moderate,103675.67,Bachelor’s Degree,9,3325,314,12.24,40.42,USA,58.94,41.753992245102836
Radio producer,Transportation,Increasing,Low,70196.15,PhD,13,6865,6779,38.53,22.18,Brazil,42.62,19.442896552726307
Speech and language therapist,Finance,Increasing,Low,33947.35,Associate Degree,16,2697,593,36.71,10.46,Australia,55.92,35.59420762045234
Nutritional therapist,Transportation,Increasing,High,149757.96,Bachelor’s Degree,9,9116,4326,69.99,61.96,India,27.96,45.76787244815785
"Clinical scientist, histocompatibility and immunogenetics",Retail,Increasing,Moderate,64270.58,Bachelor’s Degree,7,5959,8930,48.91,53.35,Brazil,42.89,42.04460197005645
"Journalist, magazine",Transportation,Increasing,Low,146925.15,Bachelor’s Degree,8,8168,5602,46.12,49.97,USA,46.69,32.201275516884905
Medical secretary,Manufacturing,Decreasing,Moderate,60527.52,PhD,16,986,9518,77.41,65.19,China,52.16,47.611251341250494
Actor,Finance,Increasing,High,136323.57,Bachelor’s Degree,4,8248,6825,85.52,54.96,Germany,32.71,37.02262869289726
"Engineer, agricultural",IT,Increasing,Low,61228.11,Associate Degree,0,4167,4831,4.75,13.69,India,44.27,38.86217613757245
Museum education officer,IT,Increasing,Moderate,50486.69,Bachelor’s Degree,19,8534,3829,5.54,47.9,Canada,55.98,47.08757013451471
"Designer, industrial/product",Entertainment,Increasing,Low,48533.77,PhD,15,9829,8737,89.79,81.82,Germany,50.24,4.706623990602136
"Engineer, site",Manufacturing,Decreasing,High,131667.29,Master’s Degree,16,8652,8256,78.14,94.49,USA,77.82,65.73812753778437
Field trials officer,IT,Increasing,High,95522.51,PhD,18,3937,7350,96.71,61.38,Canada,47.36,24.724331409918843
Chartered public finance accountant,Entertainment,Increasing,Low,47301.79,PhD,0,7054,8820,63.55,76.99,Canada,74.67,12.340741435646166
Catering manager,Finance,Decreasing,Low,79436.28,Associate Degree,16,1819,1419,48.08,5.51,Germany,79.85,45.23543568035158
Curator,Finance,Decreasing,High,87912.73,Master’s Degree,5,9090,6608,28.08,8.35,China,58.64,60.497047059576424
"Doctor, hospital",Finance,Decreasing,Moderate,106087.33,High School,0,623,9772,47.36,29.08,Brazil,34.15,62.70032677081157
"Sales professional, IT",Finance,Increasing,Low,142124.95,Bachelor’s Degree,18,9687,5381,2.74,99.03,Canada,21.91,35.22510977850558
"Administrator, sports",Education,Decreasing,High,128884.54,Associate Degree,9,2071,9637,14.08,62.45,Germany,53.15,73.40637138486693
Trade union research officer,Retail,Increasing,High,85408.53,Master’s Degree,13,4248,9257,56.48,50.65,Germany,53.18,49.80487154615248
Drilling engineer,Education,Decreasing,Low,76266.28,PhD,16,5280,5489,90.19,14.68,Germany,54.42,16.312869196010958
Chiropractor,Transportation,Increasing,High,59852.64,High School,4,1644,5765,33.44,97.48,Brazil,51.26,64.811654954055
Glass blower/designer,Manufacturing,Decreasing,Low,83663.96,High School,19,5668,4265,85.0,52.45,China,51.39,52.30333981636297
Air traffic controller,Retail,Decreasing,Low,54368.79,Associate Degree,14,3547,8580,44.08,32.29,Brazil,70.58,52.07310953591277
Geophysical data processor,Entertainment,Increasing,High,49358.21,Associate Degree,15,9831,7522,41.29,96.15,Canada,43.13,53.98663558568966
Sport and exercise psychologist,Education,Decreasing,Moderate,141622.97,Associate Degree,15,8252,5777,17.37,89.89,China,43.58,59.61335071334019
"Geologist, wellsite",Transportation,Increasing,High,39735.88,Associate Degree,12,7280,1549,89.47,56.72,Australia,30.49,50.22006236931057
Advice worker,Entertainment,Decreasing,Low,89101.66,PhD,6,6858,6947,81.9,56.13,Germany,51.71,19.22226308717276
"Journalist, newspaper",Entertainment,Increasing,High,102989.71,PhD,13,5587,3438,72.58,80.46,Brazil,28.95,28.914465272199692
Public affairs consultant,IT,Decreasing,Low,32163.12,Master’s Degree,3,4667,4644,70.35,34.17,Australia,53.03,28.691849560392875
"Scientist, research (life sciences)",Manufacturing,Increasing,Moderate,120434.46,Master’s Degree,17,2102,7469,53.19,30.67,China,74.4,37.9107074589442
"Pharmacist, community",Entertainment,Increasing,Moderate,33337.07,Bachelor’s Degree,6,882,3360,1.98,78.89,India,20.52,40.14316838531477
Web designer,Retail,Increasing,Low,59181.27,Bachelor’s Degree,20,6887,1588,84.58,3.5,Brazil,30.89,22.007482039938136
"Conservation officer, historic buildings",Education,Decreasing,Low,83343.34,High School,2,912,3027,19.22,31.28,Brazil,32.55,54.085905591764956
Sports therapist,Education,Increasing,High,69190.44,Master’s Degree,19,2231,7007,29.82,62.07,UK,63.42,44.69215025481277
Air traffic controller,Finance,Increasing,High,39349.22,PhD,20,1309,1977,73.18,38.29,India,23.19,34.10916553942568
Cartographer,Manufacturing,Decreasing,Low,85576.93,High School,1,9347,2032,86.8,14.14,China,68.9,61.611921164322915
Restaurant manager,Transportation,Increasing,Moderate,140461.54,Master’s Degree,2,9469,6205,36.91,25.51,Germany,65.4,41.97730941571869
Print production planner,Transportation,Decreasing,High,64639.8,Master’s Degree,9,5836,762,77.85,59.46,USA,20.15,57.851431091405935
Clinical molecular geneticist,Healthcare,Decreasing,Low,73620.29,Master’s Degree,15,3715,4286,64.12,45.41,UK,47.3,31.575274504949373
"Surveyor, building control",Education,Increasing,High,35176.85,Bachelor’s Degree,14,5247,5294,90.8,14.71,Brazil,36.54,32.55443769222686
Public librarian,Transportation,Decreasing,Low,79049.17,High School,16,4635,2923,72.71,95.37,UK,27.8,50.791076790304466
Orthoptist,Education,Decreasing,Moderate,68340.57,Bachelor’s Degree,9,8095,104,75.35,48.58,India,27.24,44.2149127570751
"Research officer, government",Manufacturing,Decreasing,Low,127505.28,Associate Degree,18,9956,243,52.01,69.56,Canada,20.86,56.22045439514964
Magazine features editor,Education,Decreasing,Low,109802.55,Associate Degree,8,9722,6906,39.04,24.77,China,57.49,38.447201333674556
IT consultant,Manufacturing,Decreasing,Low,66093.88,High School,10,9265,4794,23.89,62.48,Brazil,31.48,72.9171072977084
Charity fundraiser,Transportation,Increasing,High,108213.17,High School,4,1145,332,1.05,59.71,Canada,57.87,74.13586597283495
"Engineer, site",Transportation,Increasing,Moderate,53778.68,Master’s Degree,5,983,9593,53.97,67.31,Australia,58.54,38.57398293285651
Educational psychologist,Education,Increasing,Low,113423.11,Bachelor’s Degree,20,1863,8207,20.94,2.84,Canada,24.06,25.4039318312138
Aeronautical engineer,Education,Increasing,Moderate,111958.98,Master’s Degree,19,5392,729,33.37,89.34,Canada,52.19,34.3770277035269
Television production assistant,Entertainment,Decreasing,Moderate,118023.36,Master’s Degree,7,4104,4610,95.45,94.08,USA,43.31,38.36141036188638
Automotive engineer,Transportation,Decreasing,Moderate,148279.77,PhD,1,3183,7446,51.14,15.17,Australia,64.21,42.377766945843
Freight forwarder,Healthcare,Decreasing,Low,98134.84,Associate Degree,13,1803,7298,2.81,1.0,Australia,58.2,53.91684554507594
Garment/textile technologist,Entertainment,Increasing,High,89523.83,Master’s Degree,2,7717,5508,68.17,90.93,Brazil,78.82,37.595790753149814
Social researcher,Manufacturing,Increasing,Moderate,68750.4,PhD,13,6183,8562,13.78,69.39,Brazil,39.53,47.518343994450234
International aid/development worker,IT,Increasing,Low,103386.9,High School,9,6499,5158,29.31,96.6,UK,34.03,39.75559427658853
"Designer, graphic",Healthcare,Increasing,High,102842.06,Master’s Degree,16,1358,9787,80.93,14.81,India,59.27,24.000477984485258
Soil scientist,Finance,Increasing,Moderate,117558.46,High School,20,1257,9209,54.1,33.01,UK,27.41,49.49247788728889
Advertising art director,Transportation,Increasing,Low,108680.63,High School,0,1770,179,38.77,48.74,Germany,43.24,40.31143370308436
"Therapist, drama",Entertainment,Decreasing,Low,149457.1,PhD,15,3526,3918,97.53,94.59,China,55.47,16.1671203698484
Training and development officer,IT,Decreasing,High,98865.13,Associate Degree,1,4095,7430,65.9,37.87,UK,73.75,60.45908435822186
Manufacturing engineer,Manufacturing,Decreasing,Low,40006.98,Bachelor’s Degree,11,2223,6931,55.76,32.19,Germany,62.93,46.234392835625925
"Engineer, production",Transportation,Increasing,Low,71748.24,High School,13,3455,6304,74.51,78.58,Germany,61.56,36.105734307168255
Metallurgist,Healthcare,Decreasing,Low,116887.97,Master’s Degree,2,368,3314,46.78,39.75,China,45.75,33.09021116501527
"Scientist, physiological",Transportation,Decreasing,Moderate,149171.74,Bachelor’s Degree,16,4858,2119,97.44,9.51,Germany,37.88,43.611450970947374
Physiological scientist,Retail,Decreasing,Low,136306.03,PhD,17,473,9308,65.13,93.88,India,59.27,31.30019636411499
"Engineer, electronics",Manufacturing,Decreasing,Low,54568.59,High School,20,7249,7260,37.41,95.97,Australia,32.49,74.78350161831783
Ambulance person,Retail,Decreasing,Moderate,123649.9,Master’s Degree,12,1386,5958,19.22,29.65,UK,79.42,58.16878056145481
"Engineer, communications",Retail,Increasing,High,123516.2,Associate Degree,14,3122,9502,68.37,18.97,Australia,30.1,53.902765161182856
Ranger/warden,Healthcare,Increasing,Low,56450.96,High School,16,6748,2676,46.55,98.15,Germany,65.54,40.369428767117576
Museum/gallery exhibitions officer,Education,Decreasing,Low,116646.28,Associate Degree,1,7492,6053,32.59,68.67,USA,52.78,45.98211488706276
Phytotherapist,Healthcare,Increasing,Low,30256.29,PhD,5,2118,2010,76.05,91.51,Germany,71.07,9.354825367695879
"Therapist, sports",Entertainment,Increasing,Low,125285.97,PhD,0,7197,8547,10.23,41.87,Brazil,45.66,17.803190386538873
Counselling psychologist,Manufacturing,Decreasing,Low,147486.53,High School,1,9072,9561,31.65,36.11,USA,76.68,80.3694131071978
"Exhibitions officer, museum/gallery",Entertainment,Decreasing,Moderate,133599.35,High School,14,3983,6364,91.78,92.68,USA,48.74,52.99833828476693
Energy engineer,Finance,Increasing,Moderate,111987.0,PhD,20,5175,5823,49.59,94.56,India,26.42,27.302459458101495
Commercial horticulturist,Finance,Increasing,High,53939.1,Associate Degree,3,5303,1689,59.82,63.36,China,45.75,49.57738074220534
Artist,Entertainment,Increasing,Low,61613.46,Associate Degree,12,9439,8971,65.87,84.12,Germany,21.95,30.498056126424512
Teaching laboratory technician,Finance,Decreasing,Moderate,78106.23,PhD,19,1682,9748,34.75,32.45,Canada,68.7,40.110586512957035
Drilling engineer,IT,Increasing,High,53699.55,Master’s Degree,3,6751,3038,95.91,28.21,China,25.79,34.33494967796032
Video editor,IT,Increasing,Low,146844.04,PhD,6,709,3330,3.82,58.07,UK,68.25,19.81019468933689
Location manager,Education,Increasing,Moderate,116387.1,PhD,18,4632,7371,60.54,90.89,Canada,46.97,21.614624323270093
"Engineer, mining",Healthcare,Decreasing,High,53326.36,Bachelor’s Degree,11,3180,6203,19.71,29.83,China,44.67,62.70830433720435
Engineering geologist,IT,Decreasing,High,62931.11,Master’s Degree,0,1763,8273,45.47,1.1,Australia,25.48,58.68610746296449
Fashion designer,Retail,Increasing,Low,66526.08,PhD,7,8462,1177,68.74,99.0,Australia,42.09,10.968378891188472
"Surveyor, hydrographic",Entertainment,Increasing,High,106335.99,Associate Degree,1,9615,8166,2.79,32.93,China,36.92,53.751977547116155
Management consultant,Transportation,Decreasing,Moderate,93375.92,Bachelor’s Degree,9,6590,4669,59.54,89.22,Australia,30.74,47.53783961956336
Water quality scientist,Finance,Decreasing,Moderate,126501.58,Master’s Degree,8,3415,9296,51.68,65.07,China,32.73,44.49623344337849
Psychiatric nurse,Manufacturing,Increasing,High,53986.49,PhD,6,4433,1463,4.07,38.35,Canada,41.91,57.45141021261499
"Designer, fashion/clothing",Healthcare,Decreasing,Moderate,136822.06,Associate Degree,10,5813,4072,5.04,18.55,UK,37.07,60.53253424040917
"Surveyor, insurance",Education,Decreasing,High,58186.57,High School,15,4931,7068,44.9,25.35,Germany,63.53,71.45488451351531
"Journalist, magazine",IT,Decreasing,Low,40199.06,Master’s Degree,7,1609,3318,20.49,59.53,Canada,74.37,39.65187387882777
"Scientist, product/process development",Transportation,Increasing,Low,141659.56,Associate Degree,16,9572,8789,54.17,70.81,Germany,69.04,31.73001119579085
Newspaper journalist,Education,Increasing,Low,66049.63,Associate Degree,17,4000,488,34.56,4.88,USA,51.3,32.170033235039895
Estate agent,Healthcare,Decreasing,Moderate,147973.83,Associate Degree,11,8425,9957,47.52,65.58,India,34.02,53.83010776759646
Patent examiner,IT,Decreasing,High,93421.3,PhD,19,7979,1187,21.44,3.14,UK,28.84,55.07748407487286
Personnel officer,IT,Increasing,Moderate,61406.8,Master’s Degree,0,4645,7682,62.35,68.04,Canada,51.44,22.533388012845318
Quarry manager,Manufacturing,Increasing,Low,62324.14,Master’s Degree,17,9520,2760,6.58,15.8,Australia,77.25,40.238635623330275
Chiropodist,Entertainment,Decreasing,High,98303.52,Bachelor’s Degree,15,1720,2047,87.37,68.91,USA,65.75,54.66853357150787
Special educational needs teacher,Manufacturing,Decreasing,Moderate,43162.99,Associate Degree,13,8775,6572,6.3,13.47,UK,27.91,81.13740956617829
Museum education officer,Entertainment,Decreasing,Low,148934.14,PhD,2,7690,7651,1.31,82.75,India,62.22,31.490383428433447
"Programmer, systems",Entertainment,Decreasing,Low,50736.18,Associate Degree,2,6787,8168,92.98,96.62,Brazil,64.5,33.91542154536525
Financial adviser,Healthcare,Decreasing,Low,53862.03,Associate Degree,16,109,7904,64.42,5.3,Australia,33.55,39.05703398842038
Broadcast journalist,Finance,Decreasing,Moderate,131208.26,Master’s Degree,13,8041,8057,13.25,23.56,UK,21.02,52.788645009280216
Education administrator,Healthcare,Increasing,Low,80916.79,Bachelor’s Degree,0,2814,6456,45.47,7.88,China,44.05,23.03541440704097
"Engineer, communications",Education,Increasing,High,64414.5,Associate Degree,13,2323,7234,96.86,53.93,Australia,68.93,43.91844240996855
Estate agent,Finance,Decreasing,High,42162.02,Associate Degree,16,949,7472,17.21,31.73,Canada,26.53,77.82345169580054
Translator,IT,Increasing,Moderate,105186.39,PhD,20,1391,9890,54.24,49.35,Brazil,52.35,20.817719488027638
Patent examiner,Manufacturing,Increasing,Low,38493.78,Master’s Degree,0,7017,6966,24.81,44.44,Australia,44.43,37.02428642991411
"Therapist, occupational",Manufacturing,Increasing,Low,118869.85,Master’s Degree,14,1966,9258,4.83,93.27,USA,76.87,45.763440773340086
Print production planner,Transportation,Increasing,Moderate,132508.91,Master’s Degree,13,6626,5581,65.44,71.74,UK,54.64,33.13493915823151
Engineering geologist,Healthcare,Decreasing,Low,56743.74,PhD,2,6935,7846,45.6,30.31,China,57.86,32.8668078978436
Land/geomatics surveyor,Finance,Increasing,High,115890.26,Associate Degree,1,1570,769,50.79,98.58,Germany,49.16,53.43884802661702
Cartographer,Retail,Increasing,High,38712.75,Associate Degree,5,1289,2500,15.43,68.19,China,66.82,67.9801382894254
Pension scheme manager,IT,Increasing,Low,78810.73,Associate Degree,6,7375,9444,89.09,37.28,Brazil,73.84,23.136738840393583
Public house manager,Healthcare,Decreasing,Moderate,111557.77,Master’s Degree,10,7123,4465,66.1,29.68,UK,42.86,37.08902286698866
Hospital pharmacist,Education,Decreasing,High,131221.25,Master’s Degree,9,4070,3505,31.65,22.39,China,57.96,54.722398914296136
Retail merchandiser,Education,Increasing,Moderate,63042.47,Master’s Degree,17,5093,883,35.22,58.34,India,41.66,30.910541564200333
Records manager,Transportation,Decreasing,High,120694.81,High School,3,3053,9065,5.16,79.39,UK,42.62,85.67962852798792
Chiropodist,Manufacturing,Decreasing,Low,83213.3,PhD,20,5503,2150,37.82,95.09,India,75.94,46.2477603757128
Water quality scientist,Finance,Decreasing,High,80461.65,High School,11,3948,5654,88.06,15.0,Canada,68.33,66.60373723243785
"Conservator, furniture",Education,Decreasing,Low,67581.63,High School,1,5367,6325,0.49,28.46,Australia,26.18,63.02813475960249
Corporate treasurer,Manufacturing,Increasing,Moderate,137256.97,Bachelor’s Degree,19,8426,342,76.91,43.63,Australia,53.78,45.92174512829248
Leisure centre manager,Manufacturing,Decreasing,Moderate,88564.49,High School,9,762,6299,56.94,8.11,China,56.78,76.53139991402976
Orthoptist,IT,Decreasing,High,111602.42,High School,18,4222,8140,16.26,52.3,Canada,43.88,77.60406706268965
Mental health nurse,Retail,Increasing,Moderate,48108.96,Bachelor’s Degree,9,4347,717,11.0,18.84,Canada,71.25,48.039696444451366
Illustrator,Education,Decreasing,High,123234.15,PhD,2,5255,7565,74.66,3.14,UK,58.25,48.33934750799777
"Engineer, manufacturing systems",IT,Decreasing,Low,117864.69,PhD,17,7047,3251,18.87,70.92,India,67.73,29.344902498094342
Contracting civil engineer,Entertainment,Increasing,Moderate,121583.14,Bachelor’s Degree,0,620,835,95.09,48.13,Canada,43.32,21.906480728021236
Farm manager,Healthcare,Decreasing,High,81182.45,Bachelor’s Degree,17,4878,2745,19.01,97.13,India,64.25,62.1478673023366
Warehouse manager,Entertainment,Decreasing,High,64595.77,Bachelor’s Degree,14,8603,8634,5.5,59.12,Australia,25.48,67.66742404394715
Human resources officer,Entertainment,Increasing,Moderate,39588.93,PhD,14,5057,8939,19.98,42.13,India,33.61,23.808446482846865
Commissioning editor,Manufacturing,Decreasing,Moderate,31448.39,Associate Degree,7,6873,6537,19.14,38.85,China,69.15,78.0114935204518
Therapeutic radiographer,Healthcare,Increasing,High,101272.01,Master’s Degree,8,426,3796,85.72,4.74,Brazil,35.59,30.075815575323308
Health and safety adviser,Healthcare,Decreasing,High,119416.92,Master’s Degree,7,2506,6665,40.6,87.53,India,24.76,51.83274280520157
Art therapist,Education,Decreasing,High,135412.19,PhD,17,4974,6446,37.33,80.91,USA,54.93,49.84254689694871
Financial trader,Manufacturing,Decreasing,Moderate,40886.98,Bachelor’s Degree,18,1601,4430,64.38,90.84,Germany,47.69,58.96511902317009
Passenger transport manager,Transportation,Increasing,High,117414.14,Bachelor’s Degree,20,7097,1598,63.96,86.31,USA,29.01,50.79133519785741
Barista,Transportation,Increasing,Low,110923.04,High School,2,3841,3977,28.2,23.31,UK,56.4,42.5773837092937
"Teacher, music",IT,Decreasing,Low,32677.84,Bachelor’s Degree,9,1387,1291,14.91,46.17,Germany,46.24,45.38067413472489
Systems analyst,Entertainment,Decreasing,High,86141.56,High School,5,745,1470,67.71,73.39,UK,25.67,70.98409727092512
International aid/development worker,Manufacturing,Decreasing,Moderate,149292.58,Associate Degree,19,7275,7911,59.99,73.12,Canada,33.06,71.20557726379226
"Teacher, early years/pre",Manufacturing,Increasing,High,50487.08,High School,4,5146,197,69.36,13.04,China,62.4,68.2016553704867
Neurosurgeon,Transportation,Increasing,Moderate,79045.83,PhD,4,6476,5406,80.24,8.36,Brazil,77.25,19.897156803294298
Exhibition designer,Retail,Increasing,Moderate,89708.56,High School,14,8184,301,86.29,11.74,Germany,38.07,50.886172232314756
Naval architect,Education,Increasing,Low,47392.18,Master’s Degree,1,8418,4382,80.88,26.78,USA,75.69,10.86547655008457
Ambulance person,Finance,Decreasing,Low,134559.61,High School,15,5722,6746,44.04,56.05,USA,24.26,47.857898099222425
Garment/textile technologist,Manufacturing,Decreasing,High,113696.34,Bachelor’s Degree,7,5271,9268,2.43,25.09,India,26.54,88.20115187270385
"Surveyor, building",Entertainment,Increasing,Moderate,136496.2,High School,16,2275,2006,20.6,43.6,India,42.03,58.15941149481522
Fashion designer,Transportation,Decreasing,High,146889.09,Bachelor’s Degree,2,8919,7480,62.21,6.09,Australia,39.54,64.61269282420571
Academic librarian,Entertainment,Decreasing,Low,35676.78,Bachelor’s Degree,12,6371,6611,70.53,90.52,UK,59.68,32.41700329844966
Maintenance engineer,Education,Increasing,High,89009.19,High School,5,2510,6109,0.6,89.9,Canada,38.87,70.48734972164469
Tour manager,Finance,Decreasing,Moderate,138929.1,High School,5,4444,3928,96.93,82.59,Canada,25.65,54.10040554883044
Police officer,Education,Increasing,High,62769.98,Bachelor’s Degree,13,8402,8207,88.34,34.37,USA,67.13,33.06145763421017
"Engineer, water",Education,Increasing,High,102924.33,Associate Degree,20,8662,253,38.18,86.36,China,59.12,54.624681696368484
Barista,Manufacturing,Increasing,Low,115211.58,Master’s Degree,7,6082,6448,82.27,60.99,Brazil,37.28,27.40546641699588
"Editor, film/video",Education,Decreasing,High,128511.23,High School,16,3153,4619,48.42,11.23,Australia,57.86,66.09279178127555
"Social research officer, government",Education,Decreasing,Moderate,65666.44,Bachelor’s Degree,9,6100,6414,83.93,58.78,Germany,45.26,37.612852570499285
Theatre manager,Finance,Increasing,Low,147665.21,High School,4,1245,2992,5.83,19.97,China,73.05,47.9447347806186
Health physicist,IT,Decreasing,Low,109827.13,Associate Degree,18,7592,4935,79.2,58.21,China,60.97,37.557361366237764
"Geneticist, molecular",Finance,Decreasing,Moderate,52595.22,High School,0,3245,9971,1.38,6.68,China,57.26,70.1550316286991
Television camera operator,Healthcare,Decreasing,Low,99312.26,Master’s Degree,16,8716,378,59.88,8.19,Australia,23.78,31.8413811879719
Land,Education,Decreasing,High,56703.5,PhD,1,2132,8879,6.6,30.2,USA,21.12,58.273785833378405
Social worker,Retail,Decreasing,Low,73859.54,Associate Degree,8,6549,5273,63.5,2.06,Germany,76.9,48.61510877621408
Arboriculturist,Finance,Decreasing,Moderate,105769.53,High School,4,115,9306,62.76,47.1,Australia,32.24,62.64767396434159
Ecologist,Entertainment,Increasing,High,40464.58,High School,1,5221,8943,28.31,57.99,UK,44.91,55.868742015361285
"Designer, blown glass/stained glass",Manufacturing,Increasing,High,55936.26,Bachelor’s Degree,4,9842,9875,14.94,45.28,UK,23.13,67.55025616537576
Television camera operator,Manufacturing,Increasing,High,82618.6,PhD,20,3840,276,69.04,16.15,Canada,39.22,51.45972747526969
"Administrator, local government",Finance,Decreasing,Low,121285.83,PhD,2,7779,9491,1.06,75.56,USA,68.65,31.964546019937718
Diagnostic radiographer,Entertainment,Increasing,Moderate,145045.47,High School,18,869,2488,9.56,99.06,Australia,69.73,52.75058782478836
Hotel manager,Transportation,Increasing,Moderate,112755.51,Bachelor’s Degree,4,8097,8850,18.88,34.33,China,42.81,47.7507716842043
Chief Financial Officer,Finance,Increasing,Moderate,54848.16,Bachelor’s Degree,5,5119,7920,42.32,83.15,Brazil,23.47,35.12700472240075
Professor Emeritus,Finance,Decreasing,Low,133063.46,High School,8,318,2817,90.71,30.63,USA,25.74,41.531538882385306
Health service manager,Healthcare,Decreasing,Moderate,104230.12,Master’s Degree,7,9305,9219,13.91,84.46,Brazil,54.4,48.46360413380419
Psychiatrist,Finance,Decreasing,Moderate,103474.04,High School,11,2566,7299,50.44,91.59,China,78.98,64.08944198197482
Public relations officer,Retail,Increasing,Moderate,96645.47,PhD,10,1129,5020,41.56,66.11,Brazil,75.78,31.72634956783578
Dance movement psychotherapist,Healthcare,Decreasing,Moderate,120901.93,Bachelor’s Degree,13,2205,8418,94.68,18.1,India,66.28,33.697587834125855
Make,Manufacturing,Decreasing,High,63142.33,Bachelor’s Degree,2,5853,3183,70.96,48.95,UK,62.18,68.69744250738297
Therapeutic radiographer,Education,Decreasing,High,56782.31,High School,5,9767,1576,54.58,39.46,Germany,67.35,68.86322128513164
"Surveyor, insurance",Manufacturing,Increasing,Moderate,72012.1,Bachelor’s Degree,4,8058,9175,44.64,71.69,China,47.43,51.234164886240606
"Therapist, art",Transportation,Increasing,Moderate,60696.71,High School,11,4766,2348,68.76,85.88,India,65.51,48.70619460394731
"Engineer, chemical",Retail,Decreasing,Moderate,132917.99,Associate Degree,5,8547,8126,9.88,64.27,China,43.63,64.88934515546728
"Journalist, newspaper",Healthcare,Decreasing,High,118612.88,Bachelor’s Degree,12,6416,607,35.69,95.71,Canada,31.02,59.130799977321
Insurance account manager,Healthcare,Increasing,Low,45111.69,Master’s Degree,5,8602,5746,52.24,83.31,UK,72.29,19.866005770049206
"Editor, commissioning",Retail,Increasing,Low,136749.96,High School,1,2690,3724,62.73,37.09,USA,31.75,44.67292401610108
Petroleum engineer,Retail,Increasing,Low,58731.02,Bachelor’s Degree,16,3515,628,34.29,36.95,Canada,51.08,34.137393270642576
"Psychologist, clinical",Transportation,Increasing,High,79431.03,Master’s Degree,11,1162,7635,17.17,79.53,Canada,71.42,57.224027541890905
"Therapist, drama",Entertainment,Decreasing,Low,63153.29,High School,17,8608,3915,0.35,20.14,China,76.26,57.7758998642244
"Nurse, children's",Finance,Decreasing,Moderate,95840.0,PhD,8,1234,1824,57.87,39.23,Brazil,24.13,38.967263138217746
Multimedia programmer,Entertainment,Decreasing,High,128809.36,PhD,16,8689,2222,43.01,94.89,Canada,30.84,52.0310489211582
Chiropractor,Healthcare,Decreasing,Low,98690.49,Bachelor’s Degree,13,8592,3145,5.69,63.72,Brazil,29.61,43.04309542413479
Health and safety inspector,Entertainment,Decreasing,High,64480.46,PhD,6,4479,3957,30.85,24.14,USA,60.75,51.10346735182284
"Surveyor, rural practice",Retail,Decreasing,High,148824.68,Master’s Degree,16,6705,4531,44.78,70.88,Germany,48.97,67.78840828896784
Sports therapist,Healthcare,Decreasing,Moderate,57927.46,Bachelor’s Degree,16,8148,7732,99.16,8.93,Germany,37.59,35.475677086750935
"Buyer, industrial",Entertainment,Decreasing,High,120812.51,Master’s Degree,9,9751,2266,0.2,37.05,India,76.84,66.67826396359318
Government social research officer,Education,Decreasing,High,61156.26,Bachelor’s Degree,19,9343,6160,54.88,96.16,Australia,46.96,54.656187782402036
"Engineer, biomedical",IT,Increasing,Moderate,119026.98,PhD,15,9698,7565,69.22,56.83,Australia,35.53,20.374010300157522
Technical sales engineer,Healthcare,Decreasing,Moderate,92522.46,High School,6,5751,2067,66.75,67.96,Canada,27.82,59.4708867885449
"Administrator, local government",Education,Increasing,Low,86829.02,High School,0,9887,4796,55.42,11.16,Canada,30.76,32.221863625650435
Speech and language therapist,Transportation,Decreasing,Moderate,100983.67,Associate Degree,14,4897,112,9.84,6.39,UK,36.32,63.41060774894552
Diagnostic radiographer,Manufacturing,Increasing,Low,43269.59,High School,19,7634,2970,20.24,46.29,Germany,52.05,61.826412901417214
Oncologist,Education,Decreasing,Moderate,148063.03,Associate Degree,20,7667,8968,65.99,7.45,USA,62.72,50.38907209936027
"Lighting technician, broadcasting/film/video",Healthcare,Increasing,High,105690.17,Bachelor’s Degree,10,5485,7402,7.07,16.31,USA,79.09,51.97382637074297
Building surveyor,Education,Decreasing,Low,78243.5,Associate Degree,11,7991,6757,40.46,96.99,USA,35.93,45.833713231615704
Charity fundraiser,Education,Increasing,Low,112620.08,High School,10,5295,3886,30.5,54.44,UK,72.23,38.60377020482151
Interpreter,Retail,Decreasing,Moderate,81104.45,Associate Degree,0,2039,6277,51.66,27.83,Australia,34.27,63.825011471397666
Sports administrator,Education,Increasing,Low,126148.72,Bachelor’s Degree,18,8584,5373,56.62,23.25,China,26.1,23.714832128968094
Horticultural therapist,Manufacturing,Increasing,Moderate,65147.91,PhD,11,9444,7355,20.39,73.95,Australia,75.8,46.01544931417074
Health and safety adviser,Finance,Increasing,Moderate,59431.55,PhD,19,608,9987,84.9,19.26,Brazil,33.26,17.053283123942055
Fitness centre manager,Healthcare,Decreasing,Moderate,39661.67,High School,7,7691,7975,22.07,62.83,China,75.24,67.99318871825558
Pharmacologist,Healthcare,Decreasing,Moderate,49458.11,High School,10,4985,8894,54.97,51.04,China,58.89,56.7046524370589
Garment/textile technologist,Finance,Increasing,Moderate,33299.45,Bachelor’s Degree,20,7985,8205,70.08,55.89,UK,67.71,33.495890284283874
